year,province(ENG),variety ENG,Planting area (rai),Harvested area (rai),Production (ton),Yield by Planting area (kg/rai),Yield by Harvested area (kg/rai),Portion of planting in province (percent)
2012,Chiang Rai,NativeRice,"56,793","56,354","29,929",527,531,4.2
2012,Chiang Rai,RD6,"928,946","920,803","562,722",606,611,68.72
2012,Chiang Rai,RD15,"126,462","126,135","76,741",607,608,9.35
2012,Chiang Rai,KDML105,"95,452","95,029","60,025",629,632,7.06
2012,Chiang Rai,SuphanBuri60,"13,060","13,060","9,218",706,706,0.97
2012,Chiang Rai,PhotoperiodSensitiveRice,"25,737","25,737","19,348",752,752,1.9
2012,Chiang Rai,NonPhotoperiodSensitiveRice,"65,905","65,893","50,262",763,763,4.88
2012,Chiang Rai,ChaiNat1,"3,640","3,640","2,866",787,787,0.27
2012,Chiang Rai,PTT1,"12,137","12,137","9,053",746,746,0.9
2012,Chiang Rai,SuphanBuri1,"23,599","23,599","18,253",773,773,1.75
2012,Phayao,NativeRice,"17,522","16,393","7,565",432,461,2.62
2012,Phayao,RD6,"409,158","388,098","229,415",561,591,61.08
2012,Phayao,RD15,"72,848","70,971","41,080",564,579,10.87
2012,Phayao,KDML105,"113,706","110,488","55,052",484,498,16.97
2012,Phayao,PhotoperiodSensitiveRice,"14,926","14,830","9,548",640,644,2.23
2012,Phayao,NonPhotoperiodSensitiveRice,"35,335","34,043","26,548",751,780,5.28
2012,Phayao,ChaiNat1,"2,947","2,896","1,632",554,564,0.44
2012,Phayao,PTT1,"3,432","3,432","1,892",551,551,0.51
2012,Lampang,NativeRice,"13,686","13,560","5,935",434,438,3.07
2012,Lampang,RD6,"338,193","330,641","183,835",544,556,75.95
2012,Lampang,RD15,"3,029","3,029","1,921",634,634,0.68
2012,Lampang,KDML105,"29,232","28,454","16,237",555,571,6.57
2012,Lampang,PhotoperiodSensitiveRice,"22,596","22,418","12,393",548,553,5.08
2012,Lampang,NonPhotoperiodSensitiveRice,"36,285","35,541","20,138",555,567,8.15
2012,Lampang,PTT1,"2,241","2,241","1,191",531,531,0.5
2012,Lamphun,NativeRice,"10,758","10,136","5,117",476,505,8.99
2012,Lamphun,RD6,"80,783","76,765","48,166",596,627,67.51
2012,Lamphun,RD15,912,878,515,565,587,0.76
2012,Lamphun,KDML105,"10,290","10,001","5,681",552,568,8.6
2012,Lamphun,PhotoperiodSensitiveRice,"3,650","3,588","2,420",663,674,3.05
2012,Lamphun,NonPhotoperiodSensitiveRice,"12,570","11,878","7,844",624,660,10.5
2012,Lamphun,PTT1,705,705,382,542,542,0.59
2012,Chiang Mai,NativeRice,"43,834","42,778","19,609",447,458,8.81
2012,Chiang Mai,RD6,"191,011","185,323","120,611",631,651,38.38
2012,Chiang Mai,RD15,"4,483","4,483","2,552",569,569,0.9
2012,Chiang Mai,KDML105,"92,948","90,559","57,978",624,640,18.68
2012,Chiang Mai,SuphanBuri60,"1,567","1,567","1,068",682,682,0.32
2012,Chiang Mai,PhotoperiodSensitiveRice,"14,943","14,647","9,370",627,640,3
2012,Chiang Mai,NonPhotoperiodSensitiveRice,"129,608","127,143","97,334",751,766,26.05
2012,Chiang Mai,PTT1,"15,984","15,620","10,925",683,699,3.21
2012,Chiang Mai,SuphanBuri1,"3,244","3,116","2,266",699,727,0.65
2012,Mae Hong Son,NativeRice,"37,354","36,873","14,696",393,399,25.87
2012,Mae Hong Son,RD6,"10,588","10,517","5,806",548,552,7.33
2012,Mae Hong Son,RD15,"11,891","11,648","5,180",436,445,8.24
2012,Mae Hong Son,KDML105,"34,696","34,093","14,876",429,436,24.03
2012,Mae Hong Son,PhotoperiodSensitiveRice,"17,080","16,921","7,560",443,447,11.83
2012,Mae Hong Son,NonPhotoperiodSensitiveRice,"32,778","32,335","18,675",570,578,22.7
2012,Tak,NativeRice,"100,476","93,707","35,559",354,379,34.39
2012,Tak,RD6,"24,951","23,225","10,574",424,455,8.54
2012,Tak,RD15,"4,835","4,728","2,832",586,599,1.65
2012,Tak,KDML105,"110,043","103,097","47,991",436,465,37.67
2012,Tak,SuphanBuri60,"1,302","1,302",757,581,581,0.45
2012,Tak,NonPhotoperiodSensitiveRice,"28,625","26,677","16,345",571,613,9.8
2012,Tak,ChaiNat1,"9,442","9,079","5,892",624,649,3.23
2012,Tak,PTT1,"1,693","1,693","1,007",595,595,0.58
2012,Tak,SuphanBuri1,"10,780","10,292","7,581",703,737,3.69
