year,province(ENG),variety ENG,Planting area (rai),Harvested area (rai),Production (ton),Yield by Planting area (kg/rai),Yield by Harvested area (kg/rai),Portion of planting in province (percent)
2019,Chiang Rai,NativeRice,66006,58297,22848,346,392,5.11
2019,Chiang Rai,RD6,559426,483791,256445,458,530,43.34
2019,Chiang Rai,RD15,146572,130579,62894,429,482,11.36
2019,Chiang Rai,KDML105,149853,136418,66953,447,491,11.61
2019,Chiang Rai,SuphanBuri60,4616,4417,2401,520,544,0.36
2019,Chiang Rai,PhotoperiodSensitiveRice,99713,95126,62937,631,662,7.73
2019,Chiang Rai,NonPhotoperiodSensitiveRice ,199291,185626,117890,592,635,15.44
2019,Chiang Rai,ChaiNat1,311,311,120,386,386,0.02
2019,Chiang Rai,SupanburiAromaticRice,0,0,0,0,0,0
2019,Chiang Rai,PTT1,59748,55990,39644,664,708,4.63
2019,Chiang Rai,SuphanBuri1,5210,4794,2645,508,552,0.4
2019,Phayao,NativeRice,14983,14768,6111,408,414,2.38
2019,Phayao,RD6,178743,174711,83131,465,476,28.4
2019,Phayao,RD15,80740,75504,35513,440,470,12.83
2019,Phayao,KDML105,291286,285403,130411,448,457,46.29
2019,Phayao,SuphanBuri60,0,0,0,0,0,0
2019,Phayao,PhotoperiodSensitiveRice,25458,25012,15247,599,610,4.05
2019,Phayao,NonPhotoperiodSensitiveRice ,36058,34521,21726,603,629,5.73
2019,Phayao,ChaiNat1,264,264,107,405,405,0.04
2019,Phayao,SupanburiAromaticRice,0,0,0,0,0,0
2019,Phayao,PTT1,1743,1695,855,491,504,0.28
2019,Phayao,SuphanBuri1,0,0,0,0,0,0
2019,Lampang,NativeRice,4716,4638,1455,309,314,1.07
2019,Lampang,RD6,211121,209313,104498,495,499,48.11
2019,Lampang,RD15,640,640,254,397,397,0.15
2019,Lampang,KDML105,55979,55589,27219,486,490,12.76
2019,Lampang,SuphanBuri60,0,0,0,0,0,0
2019,Lampang,PhotoperiodSensitiveRice,20528,20352,10791,526,530,4.68
2019,Lampang,NonPhotoperiodSensitiveRice ,144735,142833,78462,542,549,32.98
2019,Lampang,ChaiNat1,0,0,0,0,0,0
2019,Lampang,SupanburiAromaticRice,0,0,0,0,0,0
2019,Lampang,PTT1,1114,1114,583,523,523,0.25
2019,Lampang,SuphanBuri1,0,0,0,0,0,0
2019,Lamphun,NativeRice,3169,3156,1427,450,452,2.98
2019,Lamphun,RD6,40721,40605,24252,596,597,38.37
2019,Lamphun,RD15,126,126,55,437,437,0.12
2019,Lamphun,KDML105,4969,4964,2721,548,548,4.68
2019,Lamphun,SuphanBuri60,0,0,0,0,0,0
2019,Lamphun,PhotoperiodSensitiveRice,8611,8527,4794,557,562,8.11
2019,Lamphun,NonPhotoperiodSensitiveRice ,48371,48249,30707,635,636,45.58
2019,Lamphun,ChaiNat1,0,0,0,0,0,0
2019,Lamphun,SupanburiAromaticRice,0,0,0,0,0,0
2019,Lamphun,PTT1,167,167,88,527,527,0.16
2019,Lamphun,SuphanBuri1,0,0,0,0,0,0
2019,Chiang Mai,NativeRice,118833,117617,51226,431,436,23.37
2019,Chiang Mai,RD6,53283,52933,33945,637,641,10.48
2019,Chiang Mai,RD15,761,761,430,565,565,0.15
2019,Chiang Mai,KDML105,30231,30136,16491,545,547,5.95
2019,Chiang Mai,SuphanBuri60,0,0,0,0,0,0
2019,Chiang Mai,PhotoperiodSensitiveRice,64858,64781,40170,619,620,12.75
2019,Chiang Mai,NonPhotoperiodSensitiveRice ,237285,236215,159610,673,676,46.66
2019,Chiang Mai,ChaiNat1,0,0,0,0,0,0
2019,Chiang Mai,SupanburiAromaticRice,0,0,0,0,0,0
2019,Chiang Mai,PTT1,1755,1739,1149,655,661,0.35
2019,Chiang Mai,SuphanBuri1,1500,1500,802,535,535,0.29
2019,Mae Hong Son,NativeRice,88962,88261,30473,343,345,44.79
2019,Mae Hong Son,RD6,1773,1731,956,539,552,0.89
2019,Mae Hong Son,RD15,0,0,0,0,0,0
2019,Mae Hong Son,KDML105,36891,36681,16644,451,454,18.57
2019,Mae Hong Son,SuphanBuri60,0,0,0,0,0,0
2019,Mae Hong Son,PhotoperiodSensitiveRice,4449,4404,1965,442,446,2.24
2019,Mae Hong Son,NonPhotoperiodSensitiveRice ,66573,66067,32391,487,490,33.51
2019,Mae Hong Son,ChaiNat1,0,0,0,0,0,0
2019,Mae Hong Son,SupanburiAromaticRice,0,0,0,0,0,0
2019,Mae Hong Son,PTT1,0,0,0,0,0,0
2019,Mae Hong Son,SuphanBuri1,0,0,0,0,0,0
2019,Tak,NativeRice,124943,124208,42094,337,339,34.8
2019,Tak,RD6,14222,14222,6400,450,450,3.96
2019,Tak,RD15,143,143,59,413,413,0.04
2019,Tak,KDML105,126547,124005,51893,410,418,35.24
2019,Tak,SuphanBuri60,0,0,0,0,0,0
2019,Tak,PhotoperiodSensitiveRice,8750,8710,3535,404,406,2.44
2019,Tak,NonPhotoperiodSensitiveRice ,66171,65072,33883,512,521,18.43
2019,Tak,ChaiNat1,9274,9237,5209,562,564,2.58
2019,Tak,SupanburiAromaticRice,0,0,0,0,0,0
2019,Tak,PTT1,7801,7725,4298,551,556,2.17
2019,Tak,SuphanBuri1,1234,1214,687,557,566,0.34
2019,Kamphaeng Phet,NativeRice,3902,3882,1272,326,328,0.35
2019,Kamphaeng Phet,RD6,5950,5936,2649,445,446,0.52
2019,Kamphaeng Phet,RD15,1976,1976,705,357,357,0.17
2019,Kamphaeng Phet,KDML105,98692,98136,43312,439,441,8.63
2019,Kamphaeng Phet,SuphanBuri60,2302,2281,1109,482,486,0.2
2019,Kamphaeng Phet,PhotoperiodSensitiveRice,12634,12576,5951,471,473,1.1
2019,Kamphaeng Phet,NonPhotoperiodSensitiveRice ,973763,970740,568831,584,586,85.11
2019,Kamphaeng Phet,ChaiNat1,4248,4234,2050,483,484,0.37
2019,Kamphaeng Phet,SupanburiAromaticRice,1730,1730,840,486,486,0.15
2019,Kamphaeng Phet,PTT1,21482,21451,12548,584,585,1.88
2019,Kamphaeng Phet,SuphanBuri1,17384,17338,9871,568,569,1.52
2019,Sukhothai,NativeRice,17373,16897,5455,314,323,1.57
2019,Sukhothai,RD6,15843,15155,5049,319,333,1.44
2019,Sukhothai,RD15,451,431,144,319,334,0.04
2019,Sukhothai,KDML105,117403,108491,48030,409,443,10.67
2019,Sukhothai,SuphanBuri60,25155,24522,12119,482,494,2.29
2019,Sukhothai,PhotoperiodSensitiveRice,7923,7860,3543,447,451,0.72
2019,Sukhothai,NonPhotoperiodSensitiveRice ,794659,761369,425721,536,559,72.21
2019,Sukhothai,ChaiNat1,18549,18139,10424,562,575,1.69
2019,Sukhothai,SupanburiAromaticRice,321,308,133,414,432,0.03
2019,Sukhothai,PTT1,59147,55866,35941,608,643,5.37
2019,Sukhothai,SuphanBuri1,43640,42744,25532,585,597,3.97
2019,Phrae,NativeRice,1982,1975,824,416,417,0.66
2019,Phrae,RD6,56104,55948,33324,594,596,18.81
