year,province(ENG),variety ENG,Planting area (rai),Harvested area (rai),Production (ton),Yield by Planting area (kg/rai),Yield by Harvested area (kg/rai),Portion of planting in province (percent)
2017,Chiang Rai,NativeRice,"39,704","38,036","17,991",453,473,3.28
2017,Chiang Rai,RD6,"747,225","705,531","400,751",536,568,61.82
2017,Chiang Rai,RD15,"125,168","117,362","64,997",519,554,10.36
2017,Chiang Rai,KDML105,"108,294","101,362","57,104",527,563,8.96
2017,Chiang Rai,SuphanBuri60,"12,830","12,350","8,389",654,679,1.06
2017,Chiang Rai,PhotoperiodSensitiveRice,"21,481","20,255","14,941",696,738,1.78
2017,Chiang Rai,NonPhotoperiodSensitiveRice ,"134,748","127,328","86,082",639,676,11.15
2017,Chiang Rai,ChaiNat1,0,0,0,0,0,0
2017,Chiang Rai,KhlongLuang1,0,0,0,0,0,0
2017,Chiang Rai,SupanburiAromaticRice,0,0,0,0,0,0
2017,Chiang Rai,PTT1,"11,247","10,869","7,080",630,651,0.93
2017,Chiang Rai,SuphanBuri1,"7,989","7,539","4,204",526,558,0.66
2017,Phayao,NativeRice,"15,502","14,893","7,730",499,519,2.49
2017,Phayao,RD6,"196,272","190,263","94,248",480,495,31.44
2017,Phayao,RD15,"59,114","57,263","31,019",525,542,9.47
2017,Phayao,KDML105,"287,155","273,734","131,026",456,479,46.01
2017,Phayao,SuphanBuri60,0,0,0,0,0,0
2017,Phayao,PhotoperiodSensitiveRice,"18,567","17,635","10,066",542,571,2.97
2017,Phayao,NonPhotoperiodSensitiveRice ,"47,570","45,878","33,055",695,720,7.62
2017,Phayao,ChaiNat1,0,0,0,0,0,0
2017,Phayao,KhlongLuang1,0,0,0,0,0,0
2017,Phayao,SupanburiAromaticRice,0,0,0,0,0,0
2017,Phayao,PTT1,0,0,0,0,0,0
2017,Phayao,SuphanBuri1,0,0,0,0,0,0
2017,Lampang,NativeRice,"4,856","4,836","1,876",386,388,1.13
2017,Lampang,RD6,"225,474","224,632","117,397",521,523,52.3
2017,Lampang,RD15,"2,933","2,904","1,794",612,618,0.68
2017,Lampang,KDML105,"37,642","37,164","19,798",526,533,8.73
2017,Lampang,SuphanBuri60,0,0,0,0,0,0
2017,Lampang,PhotoperiodSensitiveRice,"17,363","17,153","9,563",551,558,4.03
2017,Lampang,NonPhotoperiodSensitiveRice ,"142,871","140,158","75,320",527,537,33.13
2017,Lampang,ChaiNat1,0,0,0,0,0,0
2017,Lampang,KhlongLuang1,0,0,0,0,0,0
2017,Lampang,SupanburiAromaticRice,0,0,0,0,0,0
2017,Lampang,PTT1,0,0,0,0,0,0
2017,Lampang,SuphanBuri1,0,0,0,0,0,0
2017,Lamphun,NativeRice,"7,855","7,734","3,794",483,491,6.69
2017,Lamphun,RD6,"56,352","55,342","34,021",604,615,47.94
2017,Lamphun,RD15,0,0,0,0,0,0
2017,Lamphun,KDML105,"8,527","8,463","4,924",577,582,7.25
2017,Lamphun,SuphanBuri60,0,0,0,0,0,0
2017,Lamphun,PhotoperiodSensitiveRice,"14,969","14,868","9,740",651,655,12.73
2017,Lamphun,NonPhotoperiodSensitiveRice ,"29,847","29,451","19,401",650,659,25.39
2017,Lamphun,ChaiNat1,0,0,0,0,0,0
2017,Lamphun,KhlongLuang1,0,0,0,0,0,0
2017,Lamphun,SupanburiAromaticRice,0,0,0,0,0,0
2017,Lamphun,PTT1,0,0,0,0,0,0
2017,Lamphun,SuphanBuri1,0,0,0,0,0,0
2017,Chiang Mai,NativeRice,"90,252","89,362","40,538",449,454,20.6
2017,Chiang Mai,RD6,"103,274","101,555","60,194",583,593,23.55
2017,Chiang Mai,RD15,366,363,202,552,556,0.08
2017,Chiang Mai,KDML105,"20,147","19,874","11,174",555,562,4.59
2017,Chiang Mai,SuphanBuri60,222,220,124,559,564,0.05
2017,Chiang Mai,PhotoperiodSensitiveRice,"10,569","10,500","6,059",573,577,2.41
2017,Chiang Mai,NonPhotoperiodSensitiveRice ,"211,397","209,726","147,727",699,704,48.21
2017,Chiang Mai,ChaiNat1,0,0,0,0,0,0
2017,Chiang Mai,KhlongLuang1,0,0,0,0,0,0
2017,Chiang Mai,SupanburiAromaticRice,0,0,0,0,0,0
2017,Chiang Mai,PTT1,"2,246","2,238","1,544",687,690,0.51
2017,Chiang Mai,SuphanBuri1,0,0,0,0,0,0
2017,Mae Hong Son,NativeRice,"57,993","56,301","20,710",357,368,34.49
2017,Mae Hong Son,RD6,"4,253","4,135","2,007",472,485,2.53
2017,Mae Hong Son,RD15,0,0,0,0,0,0
2017,Mae Hong Son,KDML105,"36,482","35,694","14,264",391,400,21.7
2017,Mae Hong Son,SuphanBuri60,0,0,0,0,0,0
2017,Mae Hong Son,PhotoperiodSensitiveRice,"1,780","1,739",719,404,413,1.06
2017,Mae Hong Son,NonPhotoperiodSensitiveRice ,"67,631","65,598","30,804",455,470,40.22
2017,Mae Hong Son,ChaiNat1,0,0,0,0,0,0
2017,Mae Hong Son,KhlongLuang1,0,0,0,0,0,0
2017,Mae Hong Son,SupanburiAromaticRice,0,0,0,0,0,0
2017,Mae Hong Son,PTT1,0,0,0,0,0,0
2017,Mae Hong Son,SuphanBuri1,0,0,0,0,0,0
2017,Tak,NativeRice,"76,054","74,813","26,885",353,359,27.36
2017,Tak,RD6,"23,746","23,305","9,903",417,425,8.54
2017,Tak,RD15,0,0,0,0,0,0
2017,Tak,KDML105,"105,917","104,266","43,437",410,417,38.09
2017,Tak,SuphanBuri60,0,0,0,0,0,0
2017,Tak,PhotoperiodSensitiveRice,"3,205","3,153","1,130",353,358,1.15
2017,Tak,NonPhotoperiodSensitiveRice ,"50,645","49,819","25,347",500,509,18.22
2017,Tak,ChaiNat1,"9,240","9,075","5,184",561,571,3.32
2017,Tak,KhlongLuang1,0,0,0,0,0,0
2017,Tak,SupanburiAromaticRice,0,0,0,0,0,0
2017,Tak,PTT1,"4,467","4,386","2,333",522,532,1.61
2017,Tak,SuphanBuri1,"4,760","4,682","2,576",541,550,1.71
2017,Kamphaeng Phet,NativeRice,"7,586","7,116","3,619",477,509,0.66
2017,Kamphaeng Phet,RD6,"6,327","6,035","3,374",533,559,0.53
2017,Kamphaeng Phet,RD15,568,540,272,479,504,0.05
2017,Kamphaeng Phet,KDML105,"89,654","83,439","39,940",445,479,7.54
2017,Kamphaeng Phet,SuphanBuri60,"10,085","9,560","4,622",458,483,0.85
2017,Kamphaeng Phet,PhotoperiodSensitiveRice,"28,584","26,932","12,389",433,460,2.4
2017,Kamphaeng Phet,NonPhotoperiodSensitiveRice ,"1,021,766","958,508","595,991",583,622,85.95
2017,Kamphaeng Phet,ChaiNat1,"5,320","5,036","2,726",512,541,0.45
2017,Kamphaeng Phet,KhlongLuang1,0,0,0,0,0,0
2017,Kamphaeng Phet,SupanburiAromaticRice,0,0,0,0,0,0
2017,Kamphaeng Phet,PTT1,"8,474","8,064","4,978",587,617,0.71
2017,Kamphaeng Phet,SuphanBuri1,"10,256","9,746","5,721",558,587,0.86
2017,Sukhothai,NativeRice,"38,562","33,413","12,610",327,377,3.72
