year,province(ENG),variety ENG,Planting area (rai),Harvested area (rai),Production (ton),Yield by Planting area (kg/rai),Yield by Harvested area (kg/rai),Portion of planting in province (percent)
2021,Chiang Rai,NativeRice,"66,935","66,735","25,698",384,385,5.12
2021,Chiang Rai,RD6,"586,561","584,331","306,886",523,525,44.86
2021,Chiang Rai,RD15,"131,239","130,783","63,512",484,486,10.04
2021,Chiang Rai,KDML105,"160,064","159,638","77,795",486,487,12.24
2021,Chiang Rai,SuphanBuri60,"2,993","2,985","1,547",517,518,0.23
2021,Chiang Rai,PhotoperiodSensitiveRice,"119,437","119,276","82,670",692,693,9.14
2021,Chiang Rai,NonPhotoperiodSensitiveRice ,"187,518","187,037","122,273",652,654,14.34
2021,Chiang Rai,ChaiNat1,65,65,28,431,431,0.005
2021,Chiang Rai,SupanburiAromaticRice,0,0,0,0,0,0
2021,Chiang Rai,PTT1,"49,565","49,461","35,489",716,718,3.79
2021,Chiang Rai,SuphanBuri1,"3,037","3,024","1,696",558,561,0.23
2021,Phayao,NativeRice,"7,764","7,728","3,442",443,445,1.21
2021,Phayao,RD6,"198,016","197,410","91,977",464,466,30.9
2021,Phayao,RD15,"88,055","87,803","42,221",479,481,13.74
2021,Phayao,KDML105,"284,162","283,080","127,749",450,451,44.34
2021,Phayao,SuphanBuri60,0,0,0,0,0,0
2021,Phayao,PhotoperiodSensitiveRice,"26,165","26,038","16,217",620,623,4.08
2021,Phayao,NonPhotoperiodSensitiveRice ,"35,211","35,095","22,630",643,645,5.49
2021,Phayao,ChaiNat1,0,0,0,0,0,0
2021,Phayao,SupanburiAromaticRice,0,0,0,0,0,0
2021,Phayao,PTT1,"1,513","1,499",770,509,514,0.24
2021,Phayao,SuphanBuri1,0,0,0,0,0,0
2021,Lampang,NativeRice,"4,320","4,314","1,482",343,344,0.95
2021,Lampang,RD6,"200,578","200,254","109,973",548,549,44.64
2021,Lampang,RD15,224,224,88,393,393,0.05
2021,Lampang,KDML105,"53,289","53,128","26,460",497,498,11.86
2021,Lampang,SuphanBuri60,0,0,0,0,0,0
2021,Lampang,PhotoperiodSensitiveRice,"51,215","51,185","24,176",472,472,11.4
2021,Lampang,NonPhotoperiodSensitiveRice ,"138,555","138,000","72,327",522,524,30.84
2021,Lampang,ChaiNat1,0,0,0,0,0,0
2021,Lampang,SupanburiAromaticRice,0,0,0,0,0,0
