year,province(ENG),variety ENG,Planting area (rai),Harvested area (rai),Production (ton),Yield by Planting area (kg/rai),Yield by Harvested area (kg/rai),Portion of planting in province (percent)
2014,Chiang Rai,NativeRice,42586,41897,20383,479,487,3.47
2014,Chiang Rai,RD6,875850,861655,511956,585,594,71.51
2014,Chiang Rai,RD15,130255,127990,72622,558,567,10.64
2014,Chiang Rai,KDML105,92402,91662,51664,559,564,7.54
2014,Chiang Rai,SuphanBuri60,8245,8059,5886,714,730,0.67
2014,Chiang Rai,PhotoperiodSensitiveRice,29618,29461,22500,760,764,2.42
2014,Chiang Rai,NonPhotoperiodSensitiveRice,31365,30737,21380,682,696,2.56
2014,Chiang Rai,ChaiNat1,2033,2002,1483,729,741,0.17
2014,Chiang Rai,SupanburiAromaticRice,845,827,582,689,704,0.07
2014,Chiang Rai,PTT1,5246,5086,3691,704,726,0.43
2014,Chiang Rai,SuphanBuri1,6323,6265,3301,522,527,0.52
2014,Phayao,NativeRice,15759,15641,7854,498,502,2.55
2014,Phayao,RD6,401034,398099,216259,539,543,64.67
2014,Phayao,RD15,67682,67210,38040,562,566,10.91
2014,Phayao,KDML105,90245,90216,44768,496,496,14.55
2014,Phayao,PhotoperiodSensitiveRice,12796,12684,7291,570,575,2.06
2014,Phayao,NonPhotoperiodSensitiveRice,26922,26417,19662,730,744,4.34
2014,Phayao,ChaiNat1,2829,2796,1488,526,532,0.46
2014,Phayao,PTT1,2846,2803,1600,562,571,0.46
2014,Lampang,NativeRice,12759,12632,5280,414,418,3.02
2014,Lampang,RD6,325727,324713,172407,529,531,76.85
2014,Lampang,RD15,4583,4533,2832,618,625,1.08
2014,Lampang,KDML105,26413,26401,14172,537,537,6.23
2014,Lampang,PhotoperiodSensitiveRice,20753,20000,11534,556,577,4.9
2014,Lampang,NonPhotoperiodSensitiveRice,33616,33538,18156,540,541,7.92
2014,Lamphun,NativeRice,11214,11214,5391,481,481,9.7
2014,Lamphun,RD6,78225,78225,48700,623,623,67.65
2014,Lamphun,RD15,1108,1108,645,582,582,0.96
2014,Lamphun,KDML105,6119,6119,3530,577,577,5.29
2014,Lamphun,PhotoperiodSensitiveRice,3778,3778,2588,685,685,3.27
2014,Lamphun,NonPhotoperiodSensitiveRice,13838,13838,9227,667,667,11.97
2014,Lamphun,PTT1,1342,1342,759,566,566,1.16
2014,Chiang Mai,NativeRice,31189,30356,16618,533,547,6.85
2014,Chiang Mai,RD6,202697,200014,122241,603,611,44.44
2014,Chiang Mai,RD15,6524,6432,3723,571,579,1.43
2014,Chiang Mai,KDML105,93251,92906,52199,560,562,20.44
2014,Chiang Mai,SuphanBuri60,1802,1771,1210,671,683,0.4
2014,Chiang Mai,PhotoperiodSensitiveRice,47349,46674,33181,701,711,10.38
2014,Chiang Mai,NonPhotoperiodSensitiveRice,64480,63981,47141,731,737,14.14
2014,Chiang Mai,PTT1,5346,5297,3818,714,721,1.17
2014,Chiang Mai,SuphanBuri1,3478,3451,2461,708,713,0.75
2014,Mae Hong Son,NativeRice,47612,47594,16862,354,354,28.79
2014,Mae Hong Son,RD6,20135,20121,7935,394,394,12.17
2014,Mae Hong Son,KDML105,47521,47439,18018,379,380,28.73
2014,Mae Hong Son,PhotoperiodSensitiveRice,20745,20728,9527,459,460,12.54
2014,Mae Hong Son,NonPhotoperiodSensitiveRice,29389,29259,16333,556,558,17.77
2014,Tak,NativeRice,60728,60361,20688,341,343,23.19
2014,Tak,RD6,27172,25389,11236,414,443,10.38
2014,Tak,RD15,1410,1403,774,549,552,0.54
2014,Tak,KDML105,111612,111021,46126,413,415,42.63
2014,Tak,SuphanBuri60,2046,2046,1028,502,502,0.78
2014,Tak,PhotoperiodSensitiveRice,11145,10909,5525,496,506,4.26
2014,Tak,NonPhotoperiodSensitiveRice,26283,26128,13858,527,530,10.04
2014,Tak,ChaiNat1,6985,6985,3885,556,556,2.67
2014,Tak,PTT1,4227,4162,2218,525,533,1.61
2014,Tak,SuphanBuri1,10215,9886,6762,662,684,3.9
2014,Kamphaeng Phet,NativeRice,29654,29474,13002,438,441,2.24
2014,Kamphaeng Phet,RD6,14497,14408,7087,489,492,1.09
2014,Kamphaeng Phet,RD15,7985,7837,3950,495,504,0.6
2014,Kamphaeng Phet,KDML105,95861,95281,43615,455,458,7.24
2014,Kamphaeng Phet,SuphanBuri60,45360,44899,27053,596,603,3.42
2014,Kamphaeng Phet,PhotoperiodSensitiveRice,85567,84939,49071,573,578,6.46
2014,Kamphaeng Phet,NonPhotoperiodSensitiveRice,720778,716971,433988,602,605,54.42
2014,Kamphaeng Phet,ChaiNat1,68964,68586,40019,580,583,5.21
2014,Kamphaeng Phet,SupanburiAromaticRice,9064,8992,4875,538,542,0.68
2014,Kamphaeng Phet,PTT1,89642,89504,53731,599,600,6.77
2014,Kamphaeng Phet,SuphanBuri1,157172,156738,92248,587,589,11.87
2014,Sukhothai,NativeRice,75952,73456,31623,416,431,7.31
2014,Sukhothai,RD6,29809,28899,14291,479,495,2.88
2014,Sukhothai,RD15,7357,7286,3827,520,525,0.71
2014,Sukhothai,KDML105,127358,126137,62310,489,494,12.28
2014,Sukhothai,SuphanBuri60,117130,114243,63088,539,552,11.3
2014,Sukhothai,PhotoperiodSensitiveRice,11372,11263,6715,590,596,1.1
2014,Sukhothai,NonPhotoperiodSensitiveRice,421642,412446,252178,598,611,40.67
2014,Sukhothai,ChaiNat1,90563,86922,51654,570,594,8.74
2014,Sukhothai,SupanburiAromaticRice,8801,8717,4781,543,548,0.85
2014,Sukhothai,PTT1,8917,8831,5662,635,641,0.86
2014,Sukhothai,SuphanBuri1,137857,134433,81289,590,605,13.3
2014,Phrae,NativeRice,9296,9225,3933,423,426,3.28
2014,Phrae,RD6,126679,124498,69012,545,554,44.65
2014,Phrae,KDML105,8745,8735,4674,534,535,3.08
2014,Phrae,PhotoperiodSensitiveRice,26785,26187,14639,547,559,9.44
2014,Phrae,NonPhotoperiodSensitiveRice,112231,109962,62144,554,565,39.55
2014,Nan,NativeRice,11248,11204,4497,400,401,5.06
2014,Nan,RD6,67698,67690,34867,515,515,30.51
2014,Nan,KDML105,2356,2348,1069,454,455,1.06
2014,Nan,PhotoperiodSensitiveRice,47623,47520,24911,523,524,21.46
2014,Nan,NonPhotoperiodSensitiveRice,92998,92648,49743,535,537,41.91
2014,Uttaradit,NativeRice,11256,11256,5223,464,464,1.92
2014,Uttaradit,RD6,58346,58104,31805,545,547,9.9
2014,Uttaradit,KDML105,77843,77365,41616,535,538,13.21
2014,Uttaradit,SuphanBuri60,32518,32416,19322,594,596,5.52
2014,Uttaradit,PhotoperiodSensitiveRice,13264,13264,7048,531,531,2.25
2014,Uttaradit,NonPhotoperiodSensitiveRice,217088,215891,134480,619,623,36.85
2014,Uttaradit,ChaiNat1,23719,23524,16486,695,701,4.03
2014,Uttaradit,SupanburiAromaticRice,4964,4964,3252,655,655,0.83
2014,Uttaradit,PTT1,61436,60850,40797,664,670,10.43
2014,Uttaradit,SuphanBuri1,88748,88014,61210,690,695,15.06
2014,Phitsanulok,NativeRice,78488,77451,32793,418,423,5.75
