year,province(ENG),variety ENG,Planting area (rai),Harvested area (rai),Production (ton),Yield by Planting area (kg/rai),Yield by Harvested area (kg/rai),Portion of planting in province (percent)
2013,Chiang Rai,NativeRice,54946,53774,27132,494,505,4.1
2013,Chiang Rai,RD6,929959,910106,563043,605,619,69.4
2013,Chiang Rai,RD15,133872,130857,77287,577,591,9.99
2013,Chiang Rai,KDML105,101337,99364,58623,578,590,7.56
2013,Chiang Rai,SuphanBuri60,9680,9680,6859,709,709,0.73
2013,Chiang Rai,PhotoperiodSensitiveRice,18515,18515,13599,734,734,1.38
2013,Chiang Rai,NonPhotoperiodSensitiveRice,61807,61807,44900,726,726,4.61
2013,Chiang Rai,ChaiNat1,3164,3164,2390,755,755,0.24
2013,Chiang Rai,SupanburiAromaticRice,2260,2260,1637,724,724,0.17
2013,Chiang Rai,PTT1,3111,3111,2189,704,704,0.23
2013,Chiang Rai,SuphanBuri1,21324,21018,15263,716,726,1.59
2013,Phayao,NativeRice,15924,15248,7142,449,468,2.39
2013,Phayao,RD6,398711,384273,223044,559,580,59.87
2013,Phayao,RD15,87816,84862,51088,582,602,13.19
2013,Phayao,KDML105,114296,109574,57432,502,524,17.16
2013,Phayao,PhotoperiodSensitiveRice,12380,12380,7429,600,600,1.86
2013,Phayao,NonPhotoperiodSensitiveRice,30760,30139,22983,747,763,4.62
2013,Phayao,ChaiNat1,2357,2357,1284,545,545,0.35
2013,Phayao,SupanburiAromaticRice,1353,1353,750,554,554,0.2
2013,Phayao,PTT1,2402,2402,1399,582,582,0.36
2013,Lampang,NativeRice,13248,12906,5635,425,437,3.06
2013,Lampang,RD6,328656,322428,178351,543,553,76.02
2013,Lampang,RD15,3185,3185,2046,642,642,0.74
2013,Lampang,KDML105,24083,23484,13309,553,567,5.57
2013,Lampang,PhotoperiodSensitiveRice,20694,20694,11866,573,573,4.79
2013,Lampang,NonPhotoperiodSensitiveRice,42484,41707,23586,555,566,9.82
2013,Lamphun,NativeRice,9391,8877,4526,482,510,8.03
2013,Lamphun,RD6,78338,75079,46650,595,621,66.99
2013,Lamphun,RD15,1017,1017,573,563,563,0.87
2013,Lamphun,KDML105,10122,9452,5711,564,604,8.66
2013,Lamphun,PhotoperiodSensitiveRice,3544,3465,2366,668,683,3.03
2013,Lamphun,NonPhotoperiodSensitiveRice,13473,12693,8579,637,676,11.52
2013,Lamphun,PTT1,1051,1051,585,557,557,0.9
2013,Chiang Mai,NativeRice,51964,49263,23199,446,471,10.88
2013,Chiang Mai,RD6,172349,165656,108050,627,652,36.1
2013,Chiang Mai,RD15,6248,6248,3733,597,597,1.31
2013,Chiang Mai,KDML105,81714,78547,47980,587,611,17.12
2013,Chiang Mai,SuphanBuri60,1410,1410,991,703,703,0.3
2013,Chiang Mai,PhotoperiodSensitiveRice,9606,9606,6381,664,664,2.01
2013,Chiang Mai,NonPhotoperiodSensitiveRice,137598,132755,103572,753,780,28.82
2013,Chiang Mai,PTT1,13734,13256,9427,686,711,2.88
