year,province(ENG),variety ENG,Planting area (rai),Harvested area (rai),Production (ton),Yield by Planting area (kg/rai),Yield by Harvested area (kg/rai),Portion of planting in province (percent)
2020,Chiang Rai,NativeRice,"58,380","57,675","23,101",396,401,4.37
2020,Chiang Rai,RD6,"584,422","580,252","314,999",539,543,44
2020,Chiang Rai,RD15,"147,540","146,742","72,418",491,494,11.05
2020,Chiang Rai,KDML105,"152,410","150,628","73,415",482,487,11
2020,Chiang Rai,SuphanBuri60,"9,918","9,890","5,534",558,560,0.74
2020,Chiang Rai,PhotoperiodSensitiveRice,"119,265","118,354","81,208",681,686,8.93
2020,Chiang Rai,NonPhotoperiodSensitiveRice ,"210,989","209,805","128,621",610,613,16
2020,Chiang Rai,ChaiNat1,104,104,43,413,413,0.01
2020,Chiang Rai,SupanburiAromaticRice,0,0,0,0,0,0
2020,Chiang Rai,PTT1,"50,446","49,782","36,112",716,725,3.78
2020,Chiang Rai,SuphanBuri1,"1,861","1,835","1,040",559,567,0
2020,Phayao,NativeRice,"9,105","9,069","3,984",438,439,1
2020,Phayao,RD6,"187,145","186,679","85,843",459,460,28.89
2020,Phayao,RD15,"110,840","110,591","50,272",454,455,17
2020,Phayao,KDML105,"264,058","262,984","121,557",460,462,40.76
2020,Phayao,SuphanBuri60,0,0,0,0,0,0
2020,Phayao,PhotoperiodSensitiveRice,"26,968","26,888","16,158",599,601,4.16
2020,Phayao,NonPhotoperiodSensitiveRice ,"48,275","48,153","29,803",617,619,7
2020,Phayao,ChaiNat1,0,0,0,0,0,0
2020,Phayao,SupanburiAromaticRice,0,0,0,0,0,0
2020,Phayao,PTT1,"1,395","1,384",704,505,509,0.22
2020,Phayao,SuphanBuri1,0,0,0,0,0,0
2020,Lampang,NativeRice,"4,332","4,259","1,552",358,364,0.95
2020,Lampang,RD6,"192,967","192,510","102,092",529,530,42.5
2020,Lampang,RD15,533,533,200,375,375,0
2020,Lampang,KDML105,"52,548","52,258","25,845",492,495,11.57
2020,Lampang,SuphanBuri60,0,0,0,0,0,0
2020,Lampang,PhotoperiodSensitiveRice,"47,086","47,011","22,978",488,489,10.37
2020,Lampang,NonPhotoperiodSensitiveRice ,"155,383","152,921","82,489",531,539,34
2020,Lampang,ChaiNat1,0,0,0,0,0,0
2020,Lampang,SupanburiAromaticRice,0,0,0,0,0,0
2020,Lampang,PTT1,"1,229","1,229",652,531,531,0.27
2020,Lampang,SuphanBuri1,0,0,0,0,0,0
2020,Lamphun,NativeRice,"1,905","1,904",836,439,439,2
2020,Lamphun,RD6,"23,161","23,154","14,101",609,609,22.45
2020,Lamphun,RD15,147,147,61,415,415,0.14
2020,Lamphun,KDML105,"4,310","4,310","2,371",550,550,4
2020,Lamphun,SuphanBuri60,0,0,0,0,0,0
2020,Lamphun,PhotoperiodSensitiveRice,"26,977","26,970","15,167",562,562,26
2020,Lamphun,NonPhotoperiodSensitiveRice ,"46,511","46,508","29,968",644,644,45.08
2020,Lamphun,ChaiNat1,0,0,0,0,0,0
2020,Lamphun,SupanburiAromaticRice,0,0,0,0,0,0
2020,Lamphun,PTT1,155,155,83,535,535,0
2020,Lamphun,SuphanBuri1,0,0,0,0,0,0
2020,Chiang Mai,NativeRice,"162,021","157,894","68,364",422,433,28.79
2020,Chiang Mai,RD6,"29,604","28,647","17,840",603,623,5.26
2020,Chiang Mai,RD15,184,184,83,451,451,0.03
2020,Chiang Mai,KDML105,"28,108","28,089","15,156",539,540,4.99
2020,Chiang Mai,SuphanBuri60,0,0,0,0,0,0
2020,Chiang Mai,PhotoperiodSensitiveRice,"82,499","82,282","53,298",646,648,14.66
2020,Chiang Mai,NonPhotoperiodSensitiveRice ,"258,566","257,692","174,200",674,676,45.94
2020,Chiang Mai,ChaiNat1,0,0,0,0,0,0
2020,Chiang Mai,SupanburiAromaticRice,0,0,0,0,0,0
2020,Chiang Mai,PTT1,"1,518","1,518",978,644,644,0.27
2020,Chiang Mai,SuphanBuri1,343,343,191,557,557,0.06
2020,Mae Hong Son,NativeRice,"88,581","88,345","27,778",314,314,38.47
2020,Mae Hong Son,RD6,"2,849","2,837","1,502",527,529,1
2020,Mae Hong Son,RD15,0,0,0,0,0,0
2020,Mae Hong Son,KDML105,"40,494","40,415","18,489",457,457,17.59
2020,Mae Hong Son,SuphanBuri60,0,0,0,0,0,0
2020,Mae Hong Son,PhotoperiodSensitiveRice,"6,571","6,561","2,827",430,431,2.85
2020,Mae Hong Son,NonPhotoperiodSensitiveRice ,"91,764","91,571","45,815",499,500,39.85
2020,Mae Hong Son,ChaiNat1,0,0,0,0,0,0
2020,Mae Hong Son,SupanburiAromaticRice,0,0,0,0,0,0
2020,Mae Hong Son,PTT1,0,0,0,0,0,0
2020,Mae Hong Son,SuphanBuri1,0,0,0,0,0,0
2020,Tak,NativeRice,"150,821","146,450","48,332",320,330,39
2020,Tak,RD6,"13,579","13,521","6,147",453,455,3.55
2020,Tak,RD15,0,0,0,0,0,0
2020,Tak,KDML105,"124,995","123,287","50,362",403,408,32.69
2020,Tak,SuphanBuri60,0,0,0,0,0,0
2020,Tak,PhotoperiodSensitiveRice,"9,927","9,891","3,947",398,399,2.6
2020,Tak,NonPhotoperiodSensitiveRice ,"62,258","61,211","32,309",519,528,16.28
2020,Tak,ChaiNat1,"9,279","9,071","4,982",537,549,2.43
2020,Tak,SupanburiAromaticRice,0,0,0,0,0,0
2020,Tak,PTT1,"8,371","8,270","4,564",545,552,2.19
2020,Tak,SuphanBuri1,"3,134","3,105","1,830",584,589,0.82
2020,Kamphaeng Phet,NativeRice,"2,776","2,753","1,042",375,378,0
2020,Kamphaeng Phet,RD6,"4,123","4,098","1,982",481,484,0.35
2020,Kamphaeng Phet,RD15,306,306,124,405,405,0.03
2020,Kamphaeng Phet,KDML105,"101,770","101,412","46,379",456,457,8.53
2020,Kamphaeng Phet,SuphanBuri60,"3,519","3,495","2,056",584,588,0.29
2020,Kamphaeng Phet,PhotoperiodSensitiveRice,"6,895","6,817","3,344",485,491,0.58
2020,Kamphaeng Phet,NonPhotoperiodSensitiveRice ,"1,043,405","1,037,190","624,939",599,603,87
2020,Kamphaeng Phet,ChaiNat1,"1,822","1,803",899,493,499,0.15
2020,Kamphaeng Phet,SupanburiAromaticRice,347,347,170,490,490,0.03
2020,Kamphaeng Phet,PTT1,"21,235","21,199","12,855",605,606,1.78
2020,Kamphaeng Phet,SuphanBuri1,"7,469","7,426","4,277",573,576,1
2020,Sukhothai,NativeRice,"22,896","22,293","7,948",347,357,2.03
2020,Sukhothai,RD6,"23,072","21,567","8,384",363,389,2.03
2020,Sukhothai,RD15,"10,171","8,772","3,223",317,367,1
2020,Sukhothai,KDML105,"108,906","106,907","46,513",427,435,9.6
2020,Sukhothai,SuphanBuri60,"18,740","18,139","9,020",481,497,2
2020,Sukhothai,PhotoperiodSensitiveRice,"4,742","4,706","1,965",414,418,0.42
2020,Sukhothai,NonPhotoperiodSensitiveRice ,"839,794","804,377","453,921",541,564,74.02
2020,Sukhothai,ChaiNat1,"32,722","31,351","19,050",582,608,2.88
2020,Sukhothai,SupanburiAromaticRice,"1,415","1,401",591,418,422,0.12
2020,Sukhothai,PTT1,"55,505","54,779","34,333",619,627,4.89
2020,Sukhothai,SuphanBuri1,"16,591","16,132","10,032",605,622,1.46
2020,Phrae,NativeRice,"1,037","1,037",392,378,378,0.35
2020,Phrae,RD6,"44,771","44,550","27,058",604,607,14.63
2020,Phrae,RD15,219,219,102,466,466,0.07
2020,Phrae,KDML105,"20,063","19,995","10,544",526,527,6.55
2020,Phrae,SuphanBuri60,0,0,0,0,0,0
2020,Phrae,PhotoperiodSensitiveRice,"58,876","58,827","29,211",496,497,19.23
2020,Phrae,NonPhotoperiodSensitiveRice ,"181,129","179,838","108,224",597,602,59.17
2020,Phrae,ChaiNat1,0,0,0,0,0,0
2020,Phrae,SupanburiAromaticRice,0,0,0,0,0,0
2020,Phrae,PTT1,0,0,0,0,0,0
2020,Phrae,SuphanBuri1,0,0,0,0,0,0
2020,Nan,NativeRice,"86,116","85,715","29,561",343,345,26.13
2020,Nan,RD6,"65,027","63,723","32,513",500,510,19.73
2020,Nan,RD15,0,0,0,0,0,0
2020,Nan,KDML105,"8,053","8,030","3,971",493,495,2.44
2020,Nan,SuphanBuri60,706,706,228,323,323,0.21
2020,Nan,PhotoperiodSensitiveRice,"41,280","41,138","22,845",553,555,12.52
2020,Nan,NonPhotoperiodSensitiveRice ,"128,446","126,673","78,578",612,620,38.97
2020,Nan,ChaiNat1,0,0,0,0,0,0
2020,Nan,SupanburiAromaticRice,0,0,0,0,0,0
2020,Nan,PTT1,0,0,0,0,0,0
2020,Nan,SuphanBuri1,0,0,0,0,0,0
2020,Uttaradit,NativeRice,"14,717","14,279","5,171",351,362,2.4
2020,Uttaradit,RD6,"26,434","25,421","10,890",412,428,4.3
2020,Uttaradit,RD15,0,0,0,0,0,0
2020,Uttaradit,KDML105,"46,685","43,639","21,424",459,491,7.6
2020,Uttaradit,SuphanBuri60,"1,486","1,359",703,473,517,0.24
2020,Uttaradit,PhotoperiodSensitiveRice,"8,257","7,986","4,059",492,508,1.34
