year,province(ENG),variety ENG,Planting area (rai),Harvested area (rai),Production (ton),Yield by Planting area (kg/rai),Yield by Harvested area (kg/rai),Portion of planting in province (percent)
2018,Chiang Rai,NativeRice,"67,574","67,344","28,132",416,418,5.41
2018,Chiang Rai,RD6,"576,658","567,724","321,945",558,567,46.16
2018,Chiang Rai,RD15,"144,037","142,638","76,387",530,536,11.53
2018,Chiang Rai,KDML105,"139,054","138,084","67,999",489,492,11.13
2018,Chiang Rai,SuphanBuri60,"1,764","1,741","1,234",700,709,0.14
2018,Chiang Rai,PhotoperiodSensitiveRice,"27,901","26,817","18,326",657,683,2.23
2018,Chiang Rai,NonPhotoperiodSensitiveRice ,"233,800","229,481","157,833",675,688,18.72
2018,Chiang Rai,ChaiNat1,483,483,217,449,449,0.04
2018,Chiang Rai,SupanburiAromaticRice,135,135,72,533,533,0.01
2018,Chiang Rai,PTT1,"53,120","53,023","39,455",743,744,4.25
2018,Chiang Rai,SuphanBuri1,"4,720","4,676","2,514",533,538,0.38
2018,Phayao,NativeRice,"12,176","11,629","5,263",432,453,1.96
2018,Phayao,RD6,"178,489","177,442","94,381",529,532,28.77
2018,Phayao,RD15,"87,847","87,312","46,873",534,537,14.16
2018,Phayao,KDML105,"278,193","274,699","135,813",488,494,44.84
2018,Phayao,SuphanBuri60,0,0,0,0,0,0
2018,Phayao,PhotoperiodSensitiveRice,"22,479","22,238","14,069",626,633,3.62
2018,Phayao,NonPhotoperiodSensitiveRice ,"39,564","39,337","25,732",650,654,6.38
2018,Phayao,ChaiNat1,595,595,292,491,491,0.1
2018,Phayao,SupanburiAromaticRice,0,0,0,0,0,0
2018,Phayao,PTT1,"1,068","1,061",569,533,536,0.17
2018,Phayao,SuphanBuri1,0,0,0,0,0,0
2018,Lampang,NativeRice,"8,309","7,474","2,583",311,346,1.92
2018,Lampang,RD6,"217,323","216,094","113,616",523,526,49.99
2018,Lampang,RD15,967,957,385,398,402,0.22
2018,Lampang,KDML105,"56,272","55,904","28,770",511,515,12.94
2018,Lampang,SuphanBuri60,0,0,0,0,0,0
2018,Lampang,PhotoperiodSensitiveRice,"11,978","11,913","6,688",558,561,2.76
2018,Lampang,NonPhotoperiodSensitiveRice ,"138,855","138,434","75,868",546,548,31.94
